agency,brsuburb,email,phone
QLD19283,Camperdown,QLD19283@gmail.com,0413987235
QLD81726,Annandale,QLD81726@gmail.com,0424980234
QLD12736,Camperdown,QLD12736@gmail.com,0453000912
NSW19284,St. Lucia,NSW19284@gmail.com,0421908789
NSW19280,Woollongabba,NSW19280@gmail.com,0413000980
NSW09281,Camperdown,NSW09281@gmail.com,0444555098
SA987637,Carindale,SA987637@gmail.com,0411010256
SA026358,Camperdown,SA026358@gmail.com,0409009087
QLD19283,Woollongabba,QLD19283@gmail.com,0421098109
QLD19283,South Brisbane,QLD19283@gmail.com,0490917167
QLD19283,Sunnybank,QLD19283@gmail.com,0405921874
QLD19283,Annandale,QLD19283@gmail.com,0429109401
QLD12736,Annandale,QLD19283@gmail.com,0429109381
